lightblue ,"grayish, grey, gray ","gold, yellow, mustard, golden ",navy ,"bluish, blue, indigo, denim ","lightgrey, silver, light gray ","darkgrey, charcoal, black grey ","burlap, sand, taupe, tan, beige, light brown ","natural, neutral, greige, ivory, cream, off white ",black ,"pink, light pink, dark pink ",white  ,black and white ,"teal, light teal, dark teal "
#,"""grayish extra wide ring top sun block""","""gold extra wide ring top sun block""",#,"""indigo extra wide 95 sun block""","""light gray extra wide ring top sun block""","""dark grey extra wide ring top sun block""","""burlap patio semi sheer sun blocking""","""natural patio semi sheer sun blocking""",#,"""pink extra wide ring top sun block""",#,#,"""teal extra wide ring top sun block"""
#,"""grey extra wide ring top sun block""","""yellow extra wide ring top sun block""",#,"""denim extra wide 95 sun block""","""silver extra wide ring top sun block""","""charcoal extra wide ring top sun block""","""sand patio semi sheer sun blocking""","""neutral patio semi sheer sun blocking""",#,"""light pink extra wide ring top sun block""",#,#,"""dark teal extra wide ring top sun block"""
#,"""gray extra wide ring top sun block""","""mustard extra wide ring top sun block""",#,"""bluish extra wide 95 sun blocking""","""light grey extra wide ring top sun block""","""black grey extra wide ring top sun block""","""taupe patio semi sheer sun blocking""","""greige patio semi sheer sun blocking""",#,"""dark pink extra wide ring top sun block""",#,#,"""light teal extra wide ring top sun block"""
#,"""grayish extra wide ring top sun blocking""","""gold extra wide ring top sun blocking""",#,"""blue extra wide 95 sun blocking""","""light gray extra wide ring top sun blocking""","""dark grey extra wide ring top sun blocking""","""tan patio semi sheer sun blocking""","""ivory patio semi sheer sun blocking""",#,"""pink extra wide ring top sun blocking""",#,#,"""teal extra wide ring top sun blocking"""
#,"""grey extra wide ring top sun blocking""","""yellow extra wide ring top sun blocking""",#,"""indigo extra wide 95 sun blocking""","""silver extra wide ring top sun blocking""","""charcoal extra wide ring top sun blocking""","""beige patio semi sheer sun blocking""","""cream patio semi sheer sun blocking""",#,"""light pink extra wide ring top sun blocking""",#,#,"""dark teal extra wide ring top sun blocking"""
#,"""gray extra wide ring top sun blocking""","""mustard extra wide ring top sun blocking""",#,"""denim extra wide 95 sun blocking""","""light grey extra wide ring top sun blocking""","""black grey extra wide ring top sun blocking""","""light brown patio semi sheer sun blocking""","""off white patio semi sheer sun blocking""",#,"""dark pink extra wide ring top sun blocking""",#,#,"""light teal extra wide ring top sun blocking"""
#,"""grayish extra wide farmhouse black out""","""gold extra wide farmhouse black out""",#,"""bluish extra wide 96 black out""","""light gray extra wide farmhouse black out""","""dark grey extra wide farmhouse black out""","""burlap patio rustic black out""","""natural patio rustic black out""",#,"""pink extra wide farmhouse black out""",#,#,"""teal extra wide farmhouse black out"""
#,"""grey extra wide farmhouse black out""","""yellow extra wide farmhouse black out""",#,"""blue extra wide 96 black out""","""silver extra wide farmhouse black out""","""charcoal extra wide farmhouse black out""","""sand patio rustic black out""","""neutral patio rustic black out""",#,"""light pink extra wide farmhouse black out""",#,#,"""dark teal extra wide farmhouse black out"""
#,"""gray extra wide farmhouse black out""","""mustard extra wide farmhouse black out""",#,"""indigo extra wide 96 black out""","""light grey extra wide farmhouse black out""","""black grey extra wide farmhouse black out""","""taupe patio rustic black out""","""greige patio rustic black out""",#,"""dark pink extra wide farmhouse black out""",#,#,"""light teal extra wide farmhouse black out"""
#,"""grayish extra wide farmhouse sun block""","""gold extra wide farmhouse sun block""",#,"""denim extra wide 96 black out""","""light gray extra wide farmhouse sun block""","""dark grey extra wide farmhouse sun block""","""tan patio rustic black out""","""ivory patio rustic black out""",#,"""pink extra wide farmhouse sun block""",#,#,"""teal extra wide farmhouse sun block"""
#,"""grey extra wide farmhouse sun block""","""yellow extra wide farmhouse sun block""",#,"""bluish extra wide 96 sun block""","""silver extra wide farmhouse sun block""","""charcoal extra wide farmhouse sun block""","""beige patio rustic black out""","""cream patio rustic black out""",#,"""light pink extra wide farmhouse sun block""",#,#,"""dark teal extra wide farmhouse sun block"""
#,"""gray extra wide farmhouse sun block""","""mustard extra wide farmhouse sun block""",#,"""blue extra wide 96 sun block""","""light grey extra wide farmhouse sun block""","""black grey extra wide farmhouse sun block""","""light brown patio rustic black out""","""off white patio rustic black out""",#,"""dark pink extra wide farmhouse sun block""",#,#,"""light teal extra wide farmhouse sun block"""
